19108306021
0, 21, 9, 2, 3, 1, 1, 3, 513
1, 18, 12, 2, 3, 1, 0, 2, 514
2, 22, 8, 1, 3, 2, 8, 1, 513
3, 18, 12, 5, 0, 2, 1, 4, 514
4, 19, 11, 4, 2, 0, 1, 3, 514
5, 15, 15, 3, 1, 3, 8, 2, 514
6, 12, 18, 5, 0, 2, 1, 5, 514
7, 12, 18, 2, 3, 1, 1, 5, 514
8, 19, 11, 2, 3, 2, 1, 4, 514
9, 13, 17, 1, 3, 2, 1, 4, 514
10, 14, 16, 4, 2, 3, 1, 4, 514
11, 18, 12, 3, 2, 3, 1, 4, 514
12, 23, 7, 3, 2, 0, 8, 1, 514
13, 14, 16, 5, 0, 2, 0, 2, 513
14, 20, 10, 5, 0, 1, 1, 3, 514
15, 18, 12, 6, 0, 1, 0, 2, 514
16, 14, 16, 3, 2, 0, 8, 2, 514
17, 22, 8, 5, 0, 2, 0, 1, 514
18, 18, 12, 2, 3, 1, 8, 2, 512
19, 21, 9, 1, 3, 3, 8, 2, 514
20, 22, 8, 3, 2, 0, 0, 2, 514
21, 18, 12, 5, 0, 2, 0, 3, 514
22, 18, 12, 3, 2, 3, 0, 3, 513
23, 12, 18, 1, 3, 3, 8, 3, 514
24, 19, 11, 6, 0, 2, 8, 2, 513
25, 22, 8, 6, 0, 2, 8, 2, 514
26, 14, 16, 3, 2, 3, 0, 3, 514
27, 22, 8, 3, 1, 2, 8, 3, 511
28, 13, 17, 6, 0, 2, 0, 2, 512
29, 24, 6, 6, 0, 2, 8, 2, 514
30, 13, 17, 3, 2, 3, 0, 3, 514
31, 22, 8, 3, 1, 2, 0, 2, 512
