19076622882
0, 23, 7, 3, 2, 1, 0, 1, 511
1, 19, 11, 5, 0, 3, 8, 1, 514
2, 13, 17, 3, 1, 2, 1, 5, 513
3, 14, 16, 3, 1, 2, 0, 3, 512
4, 18, 12, 3, 2, 1, 0, 1, 493
5, 14, 16, 6, 0, 3, 8, 3, 514
6, 22, 8, 6, 0, 3, 8, 1, 513
7, 24, 6, 6, 0, 3, 8, 1, 514
8, 22, 8, 6, 0, 3, 0, 2, 511
9, 14, 16, 4, 2, 2, 1, 4, 514
10, 18, 12, 6, 0, 3, 0, 3, 514
11, 18, 12, 4, 1, 1, 0, 3, 511
12, 21, 9, 4, 2, 2, 8, 2, 514
13, 21, 9, 4, 2, 2, 0, 2, 512
14, 13, 17, 4, 1, 1, 8, 4, 514
15, 22, 8, 4, 1, 1, 0, 2, 513
16, 21, 9, 4, 2, 2, 1, 3, 514
17, 21, 9, 6, 1, 0, 0, 2, 512
18, 24, 6, 6, 2, 0, 8, 2, 514
19, 22, 8, 6, 2, 0, 8, 2, 514
20, 25, 5, 6, 1, 0, 0, 1, 513
21, 20, 10, 5, 1, 0, 0, 2, 514
22, 20, 10, 3, 1, 1, 0, 2, 514
23, 18, 12, 5, 2, 0, 8, 3, 513
24, 20, 10, 3, 2, 2, 0, 2, 514
25, 24, 6, 4, 2, 3, 8, 1, 511
26, 18, 12, 3, 1, 1, 0, 3, 514
27, 14, 16, 5, 2, 0, 0, 3, 511
28, 23, 7, 3, 2, 2, 8, 2, 514
29, 20, 10, 4, 2, 3, 0, 1, 514
30, 25, 5, 3, 1, 1, 0, 2, 514
31, 21, 9, 3, 1, 1, 8, 2, 514
