recording,signal,region,created,sizebytes,duration,firstsample,samplerate,gain,minvolts,maxvolts,bitdepth,chanstart,chanend,chansys,nchans
11,ap,hpc,2022-08-18 13:20:43,208966294460,9046.159933333332,34114886,30000,500,-0.6,0.6,512,0,383,384,385
11,ap,pfc,2022-08-18 13:20:43,208966118900,9046.152333333333,34114886,30000,500,-0.6,0.6,512,0,383,384,385
11,lfp,hpc,2022-08-18 13:20:43,17413858000,9046.16,2842907,2500,50,-0.6,0.6,512,0,383,384,385
11,lfp,pfc,2022-08-18 13:20:43,17413843370,9046.1524,2842907,2500,125,-0.6,0.6,512,0,383,384,385
12,ap,hpc,2022-08-19 16:25:09,208657235710,9032.780766666667,2245189,30000,500,-0.6,0.6,512,0,383,384,385
12,ap,pfc,2022-08-19 16:25:09,208657004710,9032.770766666667,2245189,30000,500,-0.6,0.6,512,0,383,384,385
12,lfp,hpc,2022-08-19 16:25:09,17388103040,9032.7808,187099,2500,50,-0.6,0.6,512,0,383,384,385
12,lfp,pfc,2022-08-19 16:25:09,17388083790,9032.7708,187099,2500,125,-0.6,0.6,512,0,383,384,385
13,ap,hpc,2022-09-06 13:50:05,209531450590,9070.625566666668,6469177,30000,500,-0.6,0.6,512,0,383,384,385
13,ap,pfc,2022-09-06 13:50:05,209531311990,9070.619566666666,6469177,30000,500,-0.6,0.6,512,0,383,384,385
13,lfp,hpc,2022-09-06 13:50:05,17460954280,9070.6256,539098,2500,50,-0.6,0.6,512,0,383,384,385
13,lfp,pfc,2022-09-06 13:50:05,17460942730,9070.6196,539098,2500,125,-0.6,0.6,512,0,383,384,385
14,ap,hpc,2022-09-07 14:54:08,209390896330,9064.540966666667,4918255,30000,500,-0.6,0.6,512,0,383,384,385
14,ap,pfc,2022-09-07 14:54:08,209390572930,9064.526966666666,4918255,30000,500,-0.6,0.6,512,0,383,384,385
14,lfp,hpc,2022-09-07 14:54:08,17449241810,9064.5412,409854,2500,50,-0.6,0.6,512,0,383,384,385
14,lfp,pfc,2022-09-07 14:54:08,17449214860,9064.5272,409854,2500,125,-0.6,0.6,512,0,383,384,385
15,ap,hpc,2022-09-12 16:40:28,167188372120,7237.591866666667,9288172,30000,500,-0.6,0.6,512,0,383,384,385
15,ap,pfc,2022-09-12 16:40:28,167188205800,7237.584666666667,9288172,30000,500,-0.6,0.6,512,0,383,384,385
15,lfp,hpc,2022-09-12 16:40:28,13932364600,7237.592,774014,2500,50,-0.6,0.6,512,0,383,384,385
15,lfp,pfc,2022-09-12 16:40:28,13932350740,7237.5848,774014,2500,125,-0.6,0.6,512,0,383,384,385
16,ap,hpc,2022-09-14 15:35:30,168474824980,7293.282466666667,7000774,30000,500,-0.6,0.6,512,0,383,384,385
16,ap,pfc,2022-09-14 15:35:30,168474686380,7293.276466666666,7000774,30000,500,-0.6,0.6,512,0,383,384,385
16,lfp,hpc,2022-09-14 15:35:30,14039569390,7293.2828,583397,2500,50,-0.6,0.6,512,0,383,384,385
16,lfp,pfc,2022-09-14 15:35:30,14039557840,7293.2768,583397,2500,125,-0.6,0.6,512,0,383,384,385
17,ap,hpc,2022-09-16 14:10:02,167065835860,7232.287266666666,8880826,30000,500,-0.6,0.6,512,0,383,384,385
17,ap,pfc,2022-09-16 14:10:02,167065669540,7232.280066666666,8880826,30000,500,-0.6,0.6,512,0,383,384,385
17,lfp,hpc,2022-09-16 14:10:02,13922153630,7232.2876,740068,2500,50,-0.6,0.6,512,0,383,384,385
17,lfp,pfc,2022-09-16 14:10:02,13922139770,7232.2804,740068,2500,125,-0.6,0.6,512,0,383,384,385
