19108309552
0, 11, 19, 2, 3, 2, 0, 3, 514
1, 17, 13, 5, 0, 1, 8, 1, 514
2, 13, 17, 1, 3, 2, 0, 3, 513
3, 14, 16, 3, 2, 1, 0, 1, 514
4, 14, 16, 6, 0, 1, 0, 2, 514
5, 16, 14, 3, 1, 2, 0, 1, 513
6, 18, 12, 2, 3, 1, 0, 1, 514
7, 11, 19, 2, 3, 1, 1, 4, 513
8, 20, 10, 4, 1, 2, 1, 3, 514
9, 18, 12, 1, 3, 2, 1, 3, 514
10, 14, 16, 2, 3, 1, 1, 4, 514
11, 17, 13, 2, 3, 1, 1, 3, 514
12, 14, 16, 1, 3, 1, 1, 4, 513
13, 18, 12, 6, 0, 2, 8, 1, 513
14, 22, 8, 2, 3, 1, 1, 3, 514
15, 18, 12, 3, 2, 3, 8, 2, 513
16, 19, 11, 3, 1, 2, 0, 2, 514
17, 14, 16, 1, 3, 2, 1, 3, 514
18, 21, 9, 3, 2, 3, 0, 2, 514
19, 21, 9, 6, 0, 1, 1, 3, 513
20, 19, 11, 3, 1, 2, 1, 3, 514
21, 18, 12, 1, 3, 2, 1, 3, 514
22, 16, 14, 1, 3, 1, 0, 1, 513
23, 22, 8, 1, 3, 1, 1, 3, 514
24, 20, 10, 4, 1, 3, 1, 3, 512
25, 14, 16, 1, 3, 2, 0, 2, 513
26, 24, 6, 5, 0, 3, 1, 3, 514
27, 23, 7, 1, 3, 1, 1, 3, 513
28, 14, 16, 5, 0, 3, 9, 2, 514
29, 20, 10, 5, 0, 3, 8, 2, 514
30, 18, 12, 5, 0, 1, 8, 2, 514
31, 13, 17, 3, 1, 0, 8, 3, 514
