19076618592
0, 22, 8, 3, 2, 1, 1, 3, 513
1, 14, 16, 5, 0, 3, 8, 2, 514
2, 13, 17, 4, 1, 1, 1, 5, 514
3, 18, 12, 6, 0, 3, 0, 2, 512
4, 18, 12, 3, 2, 1, 0, 2, 514
5, 12, 18, 5, 0, 3, 8, 2, 512
6, 20, 10, 4, 1, 1, 1, 3, 512
7, 16, 14, 6, 0, 3, 1, 4, 510
8, 20, 10, 5, 1, 0, 0, 1, 514
9, 19, 11, 6, 1, 0, 1, 2, 513
10, 13, 17, 6, 0, 3, 8, 3, 514
11, 21, 9, 5, 2, 0, 8, 2, 513
12, 14, 16, 6, 0, 3, 8, 2, 514
13, 23, 7, 6, 1, 0, 8, 1, 514
14, 26, 4, 5, 0, 3, 0, 1, 514
15, 25, 5, 5, 2, 0, 8, 2, 510
16, 13, 17, 5, 0, 3, 1, 3, 513
17, 14, 16, 3, 2, 2, 1, 2, 514
18, 22, 8, 5, 2, 0, 8, 1, 513
19, 18, 12, 6, 2, 0, 8, 3, 513
20, 21, 9, 6, 1, 0, 8, 1, 513
21, 19, 11, 4, 2, 3, 8, 2, 514
22, 22, 8, 3, 1, 1, 0, 2, 510
23, 21, 9, 6, 2, 0, 8, 2, 514
24, 21, 9, 6, 1, 0, 8, 2, 512
25, 23, 7, 4, 2, 3, 8, 1, 514
26, 20, 10, 3, 1, 1, 0, 2, 514
27, 22, 8, 4, 1, 3, 1, 2, 513
28, 25, 5, 5, 0, 3, 8, 1, 513
29, 26, 4, 4, 2, 3, 1, 1, 511
30, 27, 3, 3, 1, 1, 8, 1, 511
31, 25, 5, 4, 1, 3, 0, 2, 514
